תאריך,מאושפזים,אחוז נשים מאושפזות,גיל ממוצע מאושפזים,סטיית תקן גיל מאושפזים,מונשמים,אחוז נשים מונשמות,גיל ממוצע מונשמים,סטיית תקן גיל מונשמים,חולים קל,אחוז נשים חולות קל,גיל ממוצע חולים קל,סטיית תקן גיל חולים קל,חולים בינוני,אחוז נשים חולות בינוני,גיל ממוצע חולים בינוני,סטיית תקן גיל חולים בינוני,חולים קשה,אחוז נשים חולות קשה,גיל ממוצע חולים קשה,סטיית תקן גיל חולים קשה
2020-03-11,80,37.5,49.0,18.0,<15,33.3,69.0,18.1,72,37.5,47.0,16.7,NULL,NULL,NULL,NULL,<15,42.9,71.0,17.5
2020-03-12,102,40.2,50.0,18.4,<15,33.3,69.0,18.1,94,40.4,49.0,17.7,NULL,NULL,NULL,NULL,<15,42.9,71.0,17.5
2020-03-13,122,40.2,49.0,18.3,<15,33.3,69.0,18.1,111,39.6,47.0,17.3,<15,50.0,65.0,17.5,<15,42.9,71.0,17.5
2020-03-14,161,42.2,47.0,18.4,<15,25.0,76.0,12.8,151,42.4,46.0,17.3,<15,50.0,65.0,17.5,<15,33.3,80.0,11.2
2020-03-15,200,45.5,47.0,18.7,<15,33.3,77.0,10.3,185,45.4,45.0,17.4,<15,50.0,59.0,15.1,<15,44.4,81.0,9.6
2020-03-16,220,44.5,47.0,18.8,<15,28.6,78.0,9.4,204,44.6,45.0,17.7,<15,60.0,55.0,12.8,<15,36.4,79.0,9.2
2020-03-17,255,45.1,47.0,19.3,<15,28.6,78.0,9.4,237,45.6,46.0,18.4,<15,50.0,52.0,13.2,<15,33.3,78.0,9.5
2020-03-18,305,43.6,47.0,19.3,<15,28.6,78.0,9.4,278,45.0,45.0,18.5,<15,27.3,57.0,13.6,16,31.3,76.0,10.7
2020-03-19,294,42.5,48.0,19.9,<15,41.7,73.0,14.0,262,43.5,46.0,19.1,<15,27.3,59.0,12.5,21,38.1,73.0,12.9
2020-03-20,288,43.4,50.0,19.4,<15,41.7,73.0,14.0,251,44.6,48.0,19.0,<15,28.6,57.0,11.2,23,39.1,72.0,12.5
2020-03-21,275,42.2,52.0,19.7,15,40.0,70.0,13.7,227,43.6,49.0,19.4,21,33.3,60.0,10.7,27,37.0,72.0,13.1
