test_date,age_60_and_above,male,female,NULL
2020-05-04,NULL,181,178,88
2020-05-04,No,2011,1866,61
2020-05-04,Yes,483,512,9
2020-05-05,NULL,176,233,15
2020-05-05,No,2035,2187,22
2020-05-05,Yes,697,956,4
2020-05-06,NULL,184,392,17
2020-05-06,No,1884,1992,19
2020-05-06,Yes,667,1181,5
2020-05-07,NULL,242,217,14
2020-05-07,No,2648,2571,1
2020-05-07,Yes,589,772,0
2020-05-08,NULL,108,113,0
2020-05-08,No,1180,1359,0
2020-05-08,Yes,420,666,1
2020-05-09,NULL,50,53,1
2020-05-09,No,245,301,0
2020-05-09,Yes,133,175,1
2020-05-10,NULL,116,119,17
2020-05-10,No,1530,1756,0
2020-05-10,Yes,396,601,0
