test_date,age_60_and_above,females,males,nulls
2020-04-25,Yes,798,505,7
2020-04-25,No,1722,1849,56
2020-04-24,Yes,1100,710,8
2020-04-24,No,2432,2666,96
2020-04-23,No,3099,3541,137
2020-04-23,Yes,990,728,11
2020-04-22,No,3449,3938,301
2020-04-22,Yes,1122,820,14
2020-04-21,Yes,1217,953,6
2020-04-21,No,3513,3753,183
2020-04-20,Yes,1902,1076,14
2020-04-20,No,3841,3930,161
2020-04-19,Yes,1795,1014,29
2020-04-19,No,3520,3654,216
2020-04-18,No,1862,2126,43
2020-04-18,Yes,1454,794,7
2020-04-17,No,2619,2573,103
2020-04-17,Yes,1465,868,20
2020-04-16,Yes,1632,1003,32
2020-04-16,No,3151,3200,117
2020-04-15,Yes,1310,745,33
2020-04-15,No,2421,2617,24
2020-04-14,Yes,1005,649,7
2020-04-14,No,2305,2544,62
2020-04-13,No,3060,2928,555
2020-04-13,Yes,1071,775,36
2020-04-12,No,2003,2066,254
2020-04-12,Yes,884,611,163
2020-04-11,No,1467,1633,113
2020-04-11,Yes,665,452,11
2020-04-10,Yes,712,516,30
2020-04-10,No,1886,2433,101
2020-04-09,Yes,311,314,21
2020-04-09,No,1568,2111,213
2020-04-08,Yes,332,318,9
2020-04-08,No,1427,1848,124
2020-04-07,Yes,469,496,9
2020-04-07,No,2303,2521,133
2020-04-06,No,2106,2314,82
2020-04-06,Yes,465,391,6
2020-04-05,Yes,707,580,19
2020-04-05,No,2806,3227,168
2020-04-04,Yes,490,397,9
2020-04-04,No,1926,2239,82
2020-04-03,No,3062,3752,216
2020-04-03,Yes,472,548,31
2020-04-02,Yes,642,605,11
2020-04-02,No,3340,3494,94
2020-04-01,No,3497,3523,185
2020-04-01,Yes,743,677,30
2020-03-31,No,2910,3082,81
2020-03-31,Yes,515,536,11
2020-03-30,No,2478,2616,48
2020-03-30,Yes,361,410,2
2020-03-29,Yes,334,394,4
2020-03-29,No,2234,2260,52
2020-03-28,No,2249,2377,133
2020-03-28,Yes,425,416,3
2020-03-27,Yes,452,437,2
2020-03-27,No,2444,2549,79
2020-03-26,Yes,473,450,11
2020-03-26,No,2808,2517,404
2020-03-25,No,2358,2224,109
2020-03-25,Yes,393,410,0
2020-03-24,Yes,327,327,2
2020-03-24,No,2031,1954,94
2020-03-23,No,1429,1359,101
2020-03-23,Yes,306,293,6
2020-03-22,Yes,275,270,4
2020-03-22,No,1630,1330,54
2020-03-21,Yes,112,119,0
2020-03-21,No,668,724,25
2020-03-20,Yes,129,149,2
2020-03-20,No,805,746,39
2020-03-19,Yes,156,157,2
2020-03-19,No,1008,895,26
2020-03-18,No,881,823,41
2020-03-18,Yes,113,130,2
2020-03-17,Yes,114,97,0
2020-03-17,No,653,589,10
2020-03-16,No,556,534,35
2020-03-16,Yes,87,91,0
2020-03-15,Yes,75,80,2
2020-03-15,No,407,384,35
2020-03-14,No,239,250,6
2020-03-14,Yes,67,47,0
2020-03-13,Yes,57,53,4
2020-03-13,No,285,268,20
2020-03-12,Yes,54,54,3
2020-03-12,No,257,257,11
2020-03-11,Yes,18,24,0
2020-03-11,No,124,121,4
