test_date,age_60_and_above,male,female,NULL
2020-03-11,NULL,8,12,3
2020-03-11,No,115,113,1
2020-03-11,Yes,24,18,0
2020-03-12,NULL,15,12,6
2020-03-12,No,240,245,5
2020-03-12,Yes,53,55,3
2020-03-13,NULL,16,18,13
2020-03-13,No,252,268,7
2020-03-13,Yes,53,57,4
2020-03-14,NULL,18,19,4
2020-03-14,No,231,223,1
2020-03-14,Yes,48,67,0
2020-03-15,NULL,31,46,17
2020-03-15,No,352,362,18
2020-03-15,Yes,80,76,2
2020-03-16,NULL,91,89,17
2020-03-16,No,443,469,18
2020-03-16,Yes,92,86,0
2020-03-17,NULL,53,50,6
2020-03-17,No,535,604,4
2020-03-17,Yes,97,114,0
2020-03-18,NULL,45,42,17
2020-03-18,No,776,835,21
2020-03-18,Yes,129,113,2
2020-03-19,NULL,53,51,14
2020-03-19,No,831,945,8
2020-03-19,Yes,155,155,2
2020-03-20,NULL,62,77,13
2020-03-20,No,665,710,14
2020-03-20,Yes,145,126,1
2020-03-21,NULL,46,41,6
2020-03-21,No,668,624,8
2020-03-21,Yes,117,111,0
2020-03-22,NULL,98,86,18
2020-03-22,No,1223,1533,29
2020-03-22,Yes,271,277,3
2020-03-23,NULL,61,69,42
2020-03-23,No,1290,1344,57
2020-03-23,Yes,291,304,5
2020-03-24,NULL,100,87,38
2020-03-24,No,1851,1939,54
2020-03-24,Yes,327,323,2
2020-03-25,NULL,127,97,33
2020-03-25,No,2028,2195,70
2020-03-25,Yes,399,385,0
2020-03-26,NULL,98,93,92
2020-03-26,No,2303,2616,307
2020-03-26,Yes,426,459,11
2020-03-27,NULL,88,83,34
2020-03-27,No,2402,2302,43
2020-03-27,Yes,424,439,2
2020-03-28,NULL,108,118,41
2020-03-28,No,2207,2068,91
2020-03-28,Yes,407,423,3
2020-03-29,NULL,121,106,25
2020-03-29,No,2131,2112,26
2020-03-29,Yes,392,334,3
2020-03-30,NULL,107,119,22
2020-03-30,No,2484,2347,24
2020-03-30,Yes,412,360,2
2020-03-31,NULL,138,111,17
2020-03-31,No,2931,2790,64
2020-03-31,Yes,540,509,10
2020-04-01,NULL,105,118,41
2020-04-01,No,3424,3378,142
2020-04-01,Yes,677,732,28
2020-04-02,NULL,134,130,26
2020-04-02,No,3305,3151,67
2020-04-02,Yes,590,631,10
2020-04-03,NULL,224,189,16
2020-04-03,No,3409,2771,197
2020-04-03,Yes,529,462,30
2020-04-04,NULL,142,164,22
2020-04-04,No,2022,1727,60
2020-04-04,Yes,398,480,9
2020-04-05,NULL,111,82,32
2020-04-05,No,2968,2566,112
2020-04-05,Yes,545,664,10
2020-04-06,NULL,141,94,10
2020-04-06,No,1950,1792,60
2020-04-06,Yes,357,413,6
2020-04-07,NULL,129,128,12
2020-04-07,No,2071,1894,94
2020-04-07,Yes,445,411,8
2020-04-08,NULL,87,74,45
2020-04-08,No,1577,1209,75
2020-04-08,Yes,286,306,8
2020-04-09,NULL,83,67,21
2020-04-09,No,1935,1408,180
2020-04-09,Yes,302,299,21
2020-04-10,NULL,102,94,19
2020-04-10,No,2186,1685,69
2020-04-10,Yes,503,685,26
2020-04-11,NULL,78,92,13
2020-04-11,No,1493,1302,84
2020-04-11,Yes,456,653,9
2020-04-12,NULL,179,177,97
2020-04-12,No,1749,1752,130
2020-04-12,Yes,626,916,106
2020-04-13,NULL,181,229,333
2020-04-13,No,2661,2773,153
2020-04-13,Yes,777,1069,25
2020-04-14,NULL,165,185,25
2020-04-14,No,2279,2019,29
2020-04-14,Yes,651,1016,6
2020-04-15,NULL,131,181,5
2020-04-15,No,2448,2240,15
2020-04-15,Yes,766,1355,32
2020-04-16,NULL,187,314,46
2020-04-16,No,2981,2768,63
2020-04-16,Yes,979,1617,17
2020-04-17,NULL,173,227,24
2020-04-17,No,2228,2146,61
2020-04-17,Yes,895,1502,14
2020-04-18,NULL,137,198,11
2020-04-18,No,1947,1592,25
2020-04-18,Yes,759,1351,7
2020-04-19,NULL,298,469,78
2020-04-19,No,3329,2982,134
2020-04-19,Yes,999,1849,28
2020-04-20,NULL,339,428,32
2020-04-20,No,3510,3276,119
2020-04-20,Yes,1072,1732,13
2020-04-21,NULL,196,226,98
2020-04-21,No,3426,3122,75
2020-04-21,Yes,881,1139,4
2020-04-22,NULL,226,228,70
2020-04-22,No,3555,3065,208
2020-04-22,Yes,794,1082,14
2020-04-23,NULL,247,273,26
2020-04-23,No,3237,2696,92
2020-04-23,Yes,726,985,8
2020-04-24,NULL,189,283,17
2020-04-24,No,1758,1541,44
2020-04-24,Yes,555,822,5
2020-04-25,NULL,95,207,13
2020-04-25,No,497,571,10
2020-04-25,Yes,219,364,4
2020-04-26,NULL,202,211,26
2020-04-26,No,1585,1234,5
2020-04-26,Yes,298,332,0
2020-04-27,NULL,210,202,13
2020-04-27,No,1353,1311,41
2020-04-27,Yes,315,309,4
2020-04-28,NULL,176,214,10
2020-04-28,No,894,946,6
2020-04-28,Yes,195,254,0
2020-04-29,NULL,128,108,1
2020-04-29,No,359,388,2
2020-04-29,Yes,158,192,0
2020-04-30,NULL,344,316,29
2020-04-30,No,2020,1806,35
2020-04-30,Yes,395,572,4
2020-05-01,NULL,219,305,2
2020-05-01,No,1965,1976,82
2020-05-01,Yes,589,762,2
2020-05-02,NULL,96,90,2
2020-05-02,No,674,747,34
2020-05-02,Yes,206,266,16
2020-05-03,NULL,184,315,28
2020-05-03,No,1582,1899,4
2020-05-03,Yes,636,1165,7
