section,male,female,lastUpdate,date
0,32221,30596,2021-01-16T14:40:17.410Z,2021-01-16T14:40:17.410Z
10,61045,50694,2021-01-16T14:40:17.410Z,2021-01-16T14:40:17.410Z
20,51775,51092,2021-01-16T14:40:17.410Z,2021-01-16T14:40:17.410Z
30,36912,38589,2021-01-16T14:40:17.410Z,2021-01-16T14:40:17.410Z
40,32112,35290,2021-01-16T14:40:17.410Z,2021-01-16T14:40:17.410Z
50,24761,26314,2021-01-16T14:40:17.410Z,2021-01-16T14:40:17.410Z
60,18016,16903,2021-01-16T14:40:17.410Z,2021-01-16T14:40:17.410Z
70,9001,8503,2021-01-16T14:40:17.410Z,2021-01-16T14:40:17.410Z
80,3855,5061,2021-01-16T14:40:17.410Z,2021-01-16T14:40:17.410Z
90,1002,2185,2021-01-16T14:40:17.410Z,2021-01-16T14:40:17.410Z
