total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3124,1710,317,256,684,404,2021-02-09T07:17:15.457Z
100,55,19,15,40,24,2021-02-09T07:17:15.457Z
