total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3276,1109,213,184,420,269,2021-03-08T16:16:41.137Z
100,34,19,17,38,24,2021-03-08T16:16:41.137Z
