total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2892,669,110,80,227,241,2021-03-28T18:26:52.117Z
100,23,16,12,34,36,2021-03-28T18:26:52.117Z
