city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands,lastUpdate,date
ירושלים,111918,9716,5278,44669,102,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
בני ברק,44197,3745,2205,13476,183,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
תל אביב - יפו,20813,2546,1495,25382,55,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
פתח תקווה,17739,2410,1383,17695,97,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
מודיעין עילית,22948,2256,1453,8266,284,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
אשדוד,21682,2024,1346,16097,90,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
בית שמש,17852,1728,1100,7315,129,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
ראשון לציון,11267,1515,918,15029,62,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
חולון,11427,1402,878,11652,75,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
נתניה,12723,1334,821,12344,62,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
חיפה,13741,1244,617,13473,46,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
באר שבע,11200,1226,744,13727,62,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
רמלה,7293,1143,649,5501,150,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
רחובות,9021,1096,640,8426,78,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
אשקלון,8368,1044,685,9377,73,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
נתיבות,5399,974,692,4178,241,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
בת ים,7205,963,595,7664,75,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
רמת גן,6443,856,473,8385,57,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
לוד,6713,851,529,4706,107,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
קרית גת,5606,839,539,4821,142,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
צפת,3774,748,515,2548,206,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
ביתר עילית,11949,747,506,2476,117,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
אלעד,10502,742,457,2717,155,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
אופקים,3282,610,369,3552,182,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
קרית אתא,3741,594,349,4396,103,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
נצרת,7470,552,273,2173,70,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
ראש העין,4323,526,309,4856,81,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
חדרה,5128,521,315,4819,54,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
מודיעין-מכבים-רעות,4179,490,299,6013,55,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
קרית מלאכי,3010,484,333,2236,194,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
יבנה,3443,462,291,3240,95,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
אור יהודה,3465,434,261,2608,126,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
עכו,3219,374,261,2824,73,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
כפר סבא,3343,344,175,4600,35,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
טבריה,3547,340,212,2260,74,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
גבעת זאב,3303,334,179,1326,169,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
הרצליה,3382,327,192,4945,35,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
הוד השרון,2258,321,210,3733,52,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
מעלה אדומים,3131,320,200,2780,86,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
רעננה,3279,316,193,3879,41,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
נהריה,2743,316,187,3338,52,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
טייבה,3505,310,216,1422,70,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
אילת,1717,282,164,4230,50,2021-02-07T07:57:08.960Z,2021-02-07T07:57:08.960Z
