age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,149465,18641,1505185,9.9,1.2,2021-02-07T07:57:08.960Z
20-29,386834,117502,1277634,30.3,9.2,2021-02-07T07:57:08.960Z
30-39,455915,161594,1186386,38.4,13.6,2021-02-07T07:57:08.960Z
40-49,621976,258863,1080768,57.5,24.0,2021-02-07T07:57:08.960Z
50-59,570169,361727,832687,68.5,43.4,2021-02-07T07:57:08.960Z
60-69,568280,491230,735380,77.3,66.8,2021-02-07T07:57:08.960Z
70-79,434026,392778,462148,93.9,85.0,2021-02-07T07:57:08.960Z
80-89,193699,173270,222547,87.0,77.9,2021-02-07T07:57:08.960Z
90+,45538,39982,50589,90.0,79.0,2021-02-07T07:57:08.960Z
