section,male,female,lastUpdate,date
0,,1,2020-11-26T17:02:46.717Z,2020-11-26T17:02:46.717Z
10,1.0,2,2020-11-26T17:02:46.717Z,2020-11-26T17:02:46.717Z
20,1.0,5,2020-11-26T17:02:46.717Z,2020-11-26T17:02:46.717Z
30,11.0,7,2020-11-26T17:02:46.717Z,2020-11-26T17:02:46.717Z
40,20.0,11,2020-11-26T17:02:46.717Z,2020-11-26T17:02:46.717Z
50,95.0,52,2020-11-26T17:02:46.717Z,2020-11-26T17:02:46.717Z
60,254.0,107,2020-11-26T17:02:46.717Z,2020-11-26T17:02:46.717Z
70,472.0,229,2020-11-26T17:02:46.717Z,2020-11-26T17:02:46.717Z
80,531.0,436,2020-11-26T17:02:46.717Z,2020-11-26T17:02:46.717Z
90,233.0,361,2020-11-26T17:02:46.717Z,2020-11-26T17:02:46.717Z
