total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3263,922,182,131,308,270,2021-03-17T06:49:59.470Z
100,28,20,14,33,29,2021-03-17T06:49:59.470Z
