total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3047,1785,334,254,719,389,2021-02-03T08:10:56.700Z
100,59,19,14,40,22,2021-02-03T08:10:56.700Z
