total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2892,453,105,50,122,172,2021-04-07T18:30:08.680Z
100,16,23,11,27,38,2021-04-07T18:30:08.680Z
