section,male,female,lastUpdate,date
0,50757,47811,2021-02-17T19:18:09.470Z,2021-02-17T19:18:09.470Z
10,82473,72921,2021-02-17T19:18:09.470Z,2021-02-17T19:18:09.470Z
20,69062,70566,2021-02-17T19:18:09.470Z,2021-02-17T19:18:09.470Z
30,49702,52386,2021-02-17T19:18:09.470Z,2021-02-17T19:18:09.470Z
40,42030,46363,2021-02-17T19:18:09.470Z,2021-02-17T19:18:09.470Z
50,31876,34022,2021-02-17T19:18:09.470Z,2021-02-17T19:18:09.470Z
60,22042,21154,2021-02-17T19:18:09.470Z,2021-02-17T19:18:09.470Z
70,10906,10773,2021-02-17T19:18:09.470Z,2021-02-17T19:18:09.470Z
80,4832,6540,2021-02-17T19:18:09.470Z,2021-02-17T19:18:09.470Z
90,1280,2708,2021-02-17T19:18:09.470Z,2021-02-17T19:18:09.470Z
