section,male,female,lastUpdate,date
0,18267,17458,2020-12-03T15:38:28.427Z,2020-12-03T15:38:28.427Z
10,40571,29577,2020-12-03T15:38:28.427Z,2020-12-03T15:38:28.427Z
20,35007,32307,2020-12-03T15:38:28.427Z,2020-12-03T15:38:28.427Z
30,23577,23601,2020-12-03T15:38:28.427Z,2020-12-03T15:38:28.427Z
40,20684,22016,2020-12-03T15:38:28.427Z,2020-12-03T15:38:28.427Z
50,16043,16789,2020-12-03T15:38:28.427Z,2020-12-03T15:38:28.427Z
60,11760,10516,2020-12-03T15:38:28.427Z,2020-12-03T15:38:28.427Z
70,5848,5348,2020-12-03T15:38:28.427Z,2020-12-03T15:38:28.427Z
80,2459,3115,2020-12-03T15:38:28.427Z,2020-12-03T15:38:28.427Z
90,587,1349,2020-12-03T15:38:28.427Z,2020-12-03T15:38:28.427Z
