dates,averages,lastUpdate
"{'begin_date': '24.1.21', 'end_date': '30.1.21'}",6538,2021-02-17T15:15:41.093Z
"{'begin_date': '31.1.21', 'end_date': '6.2.21'}",6582,2021-02-17T15:15:41.093Z
"{'begin_date': '7.2.21', 'end_date': '13.2.21'}",5115,2021-02-17T15:15:41.093Z
"{'begin_date': '14.2.21', 'end_date': '16.2.21'}",4357,2021-02-17T15:15:41.093Z
