total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3263,908,190,131,311,263,2021-03-17T13:22:53.840Z
100,28,21,14,34,29,2021-03-17T13:22:53.840Z
