name,amount,lastUpdate,date
hard,196,2021-04-18T18:56:41.860Z,2021-04-18T18:56:41.860Z
moderate,52,2021-04-18T18:56:41.860Z,2021-04-18T18:56:41.860Z
critical,119,2021-04-18T18:56:41.860Z,2021-04-18T18:56:41.860Z
breath,117,2021-04-18T18:56:41.860Z,2021-04-18T18:56:41.860Z
name,amount,lastUpdate,date
hard,196,2021-04-18T18:56:41.860Z,2021-04-18T18:56:41.860Z
moderate,52,2021-04-18T18:56:41.860Z,2021-04-18T18:56:41.860Z
critical,119,2021-04-18T18:56:41.860Z,2021-04-18T18:56:41.860Z
breath,117,2021-04-18T18:56:41.860Z,2021-04-18T18:56:41.860Z
