section,male,female,lastUpdate,date
0,13911,13349,2020-10-03T19:35:04.317Z,2020-10-03T19:35:04.317Z
10,33626,22792,2020-10-03T19:35:04.317Z,2020-10-03T19:35:04.317Z
20,27693,24952,2020-10-03T19:35:04.317Z,2020-10-03T19:35:04.317Z
30,18474,18101,2020-10-03T19:35:04.317Z,2020-10-03T19:35:04.317Z
40,16158,17005,2020-10-03T19:35:04.317Z,2020-10-03T19:35:04.317Z
50,12449,12815,2020-10-03T19:35:04.317Z,2020-10-03T19:35:04.317Z
60,8818,7824,2020-10-03T19:35:04.317Z,2020-10-03T19:35:04.317Z
70,4205,3809,2020-10-03T19:35:04.317Z,2020-10-03T19:35:04.317Z
80,1780,2227,2020-10-03T19:35:04.317Z,2020-10-03T19:35:04.317Z
90,414,953,2020-10-03T19:35:04.317Z,2020-10-03T19:35:04.317Z
