section,male,female,lastUpdate,date
0,0,0,2020-12-21T04:52:38.930Z,2020-12-21T04:52:38.930Z
10,2,0,2020-12-21T04:52:38.930Z,2020-12-21T04:52:38.930Z
20,0,0,2020-12-21T04:52:38.930Z,2020-12-21T04:52:38.930Z
30,0,0,2020-12-21T04:52:38.930Z,2020-12-21T04:52:38.930Z
40,6,1,2020-12-21T04:52:38.930Z,2020-12-21T04:52:38.930Z
50,14,2,2020-12-21T04:52:38.930Z,2020-12-21T04:52:38.930Z
60,25,11,2020-12-21T04:52:38.930Z,2020-12-21T04:52:38.930Z
70,19,12,2020-12-21T04:52:38.930Z,2020-12-21T04:52:38.930Z
80,9,9,2020-12-21T04:52:38.930Z,2020-12-21T04:52:38.930Z
90,2,0,2020-12-21T04:52:38.930Z,2020-12-21T04:52:38.930Z
