section,male,female,lastUpdate,date
0,1,1,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
10,1,0,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
20,5,10,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
30,13,14,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
40,59,30,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
50,115,49,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
60,191,93,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
70,175,140,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
80,129,104,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
90,35,53,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
