age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,331815,292634,1538337,21.6,19.0,2021-04-11T19:08:17.183Z
20-29,970132,869599,1300361,74.6,66.9,2021-04-11T19:08:17.183Z
30-39,945390,867893,1197026,79.0,72.5,2021-04-11T19:08:17.183Z
40-49,915676,854196,1098556,83.4,77.8,2021-04-11T19:08:17.183Z
50-59,748386,702444,849966,88.0,82.6,2021-04-11T19:08:17.183Z
60-69,662352,631332,741639,89.3,85.1,2021-04-11T19:08:17.183Z
70-79,479873,463280,490784,97.8,94.4,2021-04-11T19:08:17.183Z
80-89,214681,206524,225538,95.2,91.6,2021-04-11T19:08:17.183Z
90+,50626,47716,51496,98.3,92.7,2021-04-11T19:08:17.183Z
