age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,155996,20941,1505185,10.4,1.4,2021-02-08T16:18:44.307Z
20-29,416293,138803,1277634,32.6,10.9,2021-02-08T16:18:44.307Z
30-39,485005,174188,1186386,40.9,14.7,2021-02-08T16:18:44.307Z
40-49,635881,290001,1080768,58.8,26.8,2021-02-08T16:18:44.307Z
50-59,578270,397518,832687,69.4,47.7,2021-02-08T16:18:44.307Z
60-69,572137,499947,735380,77.8,68.0,2021-02-08T16:18:44.307Z
70-79,436114,397410,462148,94.4,86.0,2021-02-08T16:18:44.307Z
80-89,194770,175435,222547,87.5,78.8,2021-02-08T16:18:44.307Z
90+,45836,40402,50589,90.6,79.9,2021-02-08T16:18:44.307Z
