total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3124,1716,317,257,691,406,2021-02-08T16:18:44.307Z
100,55,18,15,40,24,2021-02-08T16:18:44.307Z
