total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3047,1807,380,273,728,411,2021-02-01T17:12:59.620Z
100,59,21,15,40,23,2021-02-01T17:12:59.620Z
