dates,averages,lastUpdate
"{'begin_date': '10.1.21', 'end_date': '16.1.21'}",8318,2021-02-01T17:12:59.620Z
"{'begin_date': '17.1.21', 'end_date': '23.1.21'}",7122,2021-02-01T17:12:59.620Z
"{'begin_date': '24.1.21', 'end_date': '30.1.21'}",6520,2021-02-01T17:12:59.620Z
"{'begin_date': '31.1.21', 'end_date': '1.2.21'}",5493,2021-02-01T17:12:59.620Z
