total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3124,1738,312,240,716,405,2021-02-08T08:06:55.437Z
100,56,18,14,41,23,2021-02-08T08:06:55.437Z
