age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,133971,16435,1505185,8.9,1.1,2021-02-03T04:45:35.923Z
20-29,333457,103216,1277634,26.1,8.1,2021-02-03T04:45:35.923Z
30-39,396962,143109,1186386,33.5,12.1,2021-02-03T04:45:35.923Z
40-49,590117,230016,1080768,54.6,21.3,2021-02-03T04:45:35.923Z
50-59,553267,297542,832687,66.4,35.7,2021-02-03T04:45:35.923Z
60-69,561163,472378,735380,76.3,64.2,2021-02-03T04:45:35.923Z
70-79,430283,383386,462148,93.1,83.0,2021-02-03T04:45:35.923Z
80-89,191701,169035,222547,86.1,76.0,2021-02-03T04:45:35.923Z
90+,45023,39191,50589,89.0,77.5,2021-02-03T04:45:35.923Z
