section,male,female,lastUpdate,date
0,0,4,2021-03-13T15:33:33.093Z,2021-03-13T15:33:33.093Z
10,2,2,2021-03-13T15:33:33.093Z,2021-03-13T15:33:33.093Z
20,8,9,2021-03-13T15:33:33.093Z,2021-03-13T15:33:33.093Z
30,17,26,2021-03-13T15:33:33.093Z,2021-03-13T15:33:33.093Z
40,49,25,2021-03-13T15:33:33.093Z,2021-03-13T15:33:33.093Z
50,73,52,2021-03-13T15:33:33.093Z,2021-03-13T15:33:33.093Z
60,73,65,2021-03-13T15:33:33.093Z,2021-03-13T15:33:33.093Z
70,64,47,2021-03-13T15:33:33.093Z,2021-03-13T15:33:33.093Z
80,32,44,2021-03-13T15:33:33.093Z,2021-03-13T15:33:33.093Z
90,13,8,2021-03-13T15:33:33.093Z,2021-03-13T15:33:33.093Z
