age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,328168,286502,1538337,21.3,18.6,2021-04-07T13:32:01.910Z
20-29,961960,854436,1300361,74.0,65.7,2021-04-07T13:32:01.910Z
30-39,938721,856156,1197026,78.4,71.5,2021-04-07T13:32:01.910Z
40-49,911425,846776,1098556,83.0,77.1,2021-04-07T13:32:01.910Z
50-59,745688,698252,849966,87.7,82.2,2021-04-07T13:32:01.910Z
60-69,660639,629157,741639,89.1,84.8,2021-04-07T13:32:01.910Z
70-79,478949,462233,490784,97.6,94.2,2021-04-07T13:32:01.910Z
80-89,214205,205937,225538,95.0,91.3,2021-04-07T13:32:01.910Z
90+,50435,47574,51496,97.9,92.4,2021-04-07T13:32:01.910Z
