total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3321,1195,252,193,451,266,2021-03-03T06:07:56.950Z
100,36,21,16,38,22,2021-03-03T06:07:56.950Z
