dates,averages,lastUpdate
"{'begin_date': '24.1.21', 'end_date': '30.1.21'}",6536,2021-02-14T07:09:42.080Z
"{'begin_date': '31.1.21', 'end_date': '6.2.21'}",6582,2021-02-14T07:09:42.080Z
"{'begin_date': '7.2.21', 'end_date': '13.2.21'}",5101,2021-02-14T07:09:42.080Z
