section,male,female,lastUpdate,date
0,0,0,2021-02-14T07:09:42.080Z,2021-02-14T07:09:42.080Z
10,0,1,2021-02-14T07:09:42.080Z,2021-02-14T07:09:42.080Z
20,4,3,2021-02-14T07:09:42.080Z,2021-02-14T07:09:42.080Z
30,12,11,2021-02-14T07:09:42.080Z,2021-02-14T07:09:42.080Z
40,17,14,2021-02-14T07:09:42.080Z,2021-02-14T07:09:42.080Z
50,42,20,2021-02-14T07:09:42.080Z,2021-02-14T07:09:42.080Z
60,43,27,2021-02-14T07:09:42.080Z,2021-02-14T07:09:42.080Z
70,39,23,2021-02-14T07:09:42.080Z,2021-02-14T07:09:42.080Z
80,14,17,2021-02-14T07:09:42.080Z,2021-02-14T07:09:42.080Z
90,2,1,2021-02-14T07:09:42.080Z,2021-02-14T07:09:42.080Z
