section,male,female,lastUpdate,date
0,2,1,2021-01-14T20:50:19.033Z,2021-01-14T20:50:19.033Z
10,2,2,2021-01-14T20:50:19.033Z,2021-01-14T20:50:19.033Z
20,6,9,2021-01-14T20:50:19.033Z,2021-01-14T20:50:19.033Z
30,13,8,2021-01-14T20:50:19.033Z,2021-01-14T20:50:19.033Z
40,24,24,2021-01-14T20:50:19.033Z,2021-01-14T20:50:19.033Z
50,132,64,2021-01-14T20:50:19.033Z,2021-01-14T20:50:19.033Z
60,365,153,2021-01-14T20:50:19.033Z,2021-01-14T20:50:19.033Z
70,640,310,2021-01-14T20:50:19.033Z,2021-01-14T20:50:19.033Z
80,720,603,2021-01-14T20:50:19.033Z,2021-01-14T20:50:19.033Z
90,335,457,2021-01-14T20:50:19.033Z,2021-01-14T20:50:19.033Z
