section,male,female,lastUpdate,date
0,0,1,2021-01-11T04:29:18.330Z,2021-01-11T04:29:18.330Z
10,0,2,2021-01-11T04:29:18.330Z,2021-01-11T04:29:18.330Z
20,2,1,2021-01-11T04:29:18.330Z,2021-01-11T04:29:18.330Z
30,10,11,2021-01-11T04:29:18.330Z,2021-01-11T04:29:18.330Z
40,35,17,2021-01-11T04:29:18.330Z,2021-01-11T04:29:18.330Z
50,101,45,2021-01-11T04:29:18.330Z,2021-01-11T04:29:18.330Z
60,160,81,2021-01-11T04:29:18.330Z,2021-01-11T04:29:18.330Z
70,156,115,2021-01-11T04:29:18.330Z,2021-01-11T04:29:18.330Z
80,115,106,2021-01-11T04:29:18.330Z,2021-01-11T04:29:18.330Z
90,24,45,2021-01-11T04:29:18.330Z,2021-01-11T04:29:18.330Z
