age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,317509,259082,1538337,20.6,16.8,2021-03-25T06:54:09.707Z
20-29,936301,782870,1300361,72.0,60.2,2021-03-25T06:54:09.707Z
30-39,919191,800708,1197026,76.8,66.9,2021-03-25T06:54:09.707Z
40-49,898512,811129,1098556,81.8,73.8,2021-03-25T06:54:09.707Z
50-59,737171,677419,849966,86.7,79.7,2021-03-25T06:54:09.707Z
60-69,655499,617956,741639,88.4,83.3,2021-03-25T06:54:09.707Z
70-79,476107,456561,490784,97.0,93.0,2021-03-25T06:54:09.707Z
80-89,212651,202936,225538,94.3,90.0,2021-03-25T06:54:09.707Z
90+,49907,46814,51496,96.9,90.9,2021-03-25T06:54:09.707Z
