section,male,female,lastUpdate,date
0,0.0,1,2021-03-25T06:54:09.707Z,2021-03-25T06:54:09.707Z
10,,0,2021-03-25T06:54:09.707Z,2021-03-25T06:54:09.707Z
20,1.0,1,2021-03-25T06:54:09.707Z,2021-03-25T06:54:09.707Z
30,5.0,8,2021-03-25T06:54:09.707Z,2021-03-25T06:54:09.707Z
40,16.0,7,2021-03-25T06:54:09.707Z,2021-03-25T06:54:09.707Z
50,27.0,14,2021-03-25T06:54:09.707Z,2021-03-25T06:54:09.707Z
60,26.0,19,2021-03-25T06:54:09.707Z,2021-03-25T06:54:09.707Z
70,18.0,21,2021-03-25T06:54:09.707Z,2021-03-25T06:54:09.707Z
80,7.0,7,2021-03-25T06:54:09.707Z,2021-03-25T06:54:09.707Z
90,2.0,0,2021-03-25T06:54:09.707Z,2021-03-25T06:54:09.707Z
