total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2892,740,126,97,231,251,2021-03-25T06:54:09.707Z
100,26,17,13,31,34,2021-03-25T06:54:09.707Z
