amount,lastUpdate
0,2020-11-15T16:06:05.017Z
0,2020-11-15T16:06:05.017Z
0,2020-11-15T16:06:05.017Z
1,2020-11-15T16:06:05.017Z
2,2020-11-15T16:06:05.017Z
3,2020-11-15T16:06:05.017Z
5,2020-11-15T16:06:05.017Z
5,2020-11-15T16:06:05.017Z
6,2020-11-15T16:06:05.017Z
7,2020-11-15T16:06:05.017Z
7,2020-11-15T16:06:05.017Z
7,2020-11-15T16:06:05.017Z
6,2020-11-15T16:06:05.017Z
9,2020-11-15T16:06:05.017Z
11,2020-11-15T16:06:05.017Z
12,2020-11-15T16:06:05.017Z
16,2020-11-15T16:06:05.017Z
21,2020-11-15T16:06:05.017Z
23,2020-11-15T16:06:05.017Z
27,2020-11-15T16:06:05.017Z
38,2020-11-15T16:06:05.017Z
44,2020-11-15T16:06:05.017Z
48,2020-11-15T16:06:05.017Z
52,2020-11-15T16:06:05.017Z
56,2020-11-15T16:06:05.017Z
67,2020-11-15T16:06:05.017Z
70,2020-11-15T16:06:05.017Z
80,2020-11-15T16:06:05.017Z
89,2020-11-15T16:06:05.017Z
98,2020-11-15T16:06:05.017Z
111,2020-11-15T16:06:05.017Z
113,2020-11-15T16:06:05.017Z
131,2020-11-15T16:06:05.017Z
140,2020-11-15T16:06:05.017Z
135,2020-11-15T16:06:05.017Z
147,2020-11-15T16:06:05.017Z
160,2020-11-15T16:06:05.017Z
166,2020-11-15T16:06:05.017Z
166,2020-11-15T16:06:05.017Z
170,2020-11-15T16:06:05.017Z
182,2020-11-15T16:06:05.017Z
177,2020-11-15T16:06:05.017Z
192,2020-11-15T16:06:05.017Z
178,2020-11-15T16:06:05.017Z
179,2020-11-15T16:06:05.017Z
181,2020-11-15T16:06:05.017Z
165,2020-11-15T16:06:05.017Z
174,2020-11-15T16:06:05.017Z
157,2020-11-15T16:06:05.017Z
154,2020-11-15T16:06:05.017Z
145,2020-11-15T16:06:05.017Z
149,2020-11-15T16:06:05.017Z
146,2020-11-15T16:06:05.017Z
144,2020-11-15T16:06:05.017Z
136,2020-11-15T16:06:05.017Z
142,2020-11-15T16:06:05.017Z
132,2020-11-15T16:06:05.017Z
127,2020-11-15T16:06:05.017Z
122,2020-11-15T16:06:05.017Z
112,2020-11-15T16:06:05.017Z
109,2020-11-15T16:06:05.017Z
111,2020-11-15T16:06:05.017Z
101,2020-11-15T16:06:05.017Z
97,2020-11-15T16:06:05.017Z
91,2020-11-15T16:06:05.017Z
88,2020-11-15T16:06:05.017Z
84,2020-11-15T16:06:05.017Z
78,2020-11-15T16:06:05.017Z
78,2020-11-15T16:06:05.017Z
74,2020-11-15T16:06:05.017Z
69,2020-11-15T16:06:05.017Z
65,2020-11-15T16:06:05.017Z
61,2020-11-15T16:06:05.017Z
61,2020-11-15T16:06:05.017Z
61,2020-11-15T16:06:05.017Z
60,2020-11-15T16:06:05.017Z
55,2020-11-15T16:06:05.017Z
