total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3440,1265,266,178,486,311,2021-02-24T10:07:23.113Z
100,37,21,14,38,25,2021-02-24T10:07:23.113Z
