section,male,female,lastUpdate,date
0,0,0,2020-12-31T04:42:38.383Z,2020-12-31T04:42:38.383Z
10,2,0,2020-12-31T04:42:38.383Z,2020-12-31T04:42:38.383Z
20,0,0,2020-12-31T04:42:38.383Z,2020-12-31T04:42:38.383Z
30,1,0,2020-12-31T04:42:38.383Z,2020-12-31T04:42:38.383Z
40,4,5,2020-12-31T04:42:38.383Z,2020-12-31T04:42:38.383Z
50,21,0,2020-12-31T04:42:38.383Z,2020-12-31T04:42:38.383Z
60,35,12,2020-12-31T04:42:38.383Z,2020-12-31T04:42:38.383Z
70,34,21,2020-12-31T04:42:38.383Z,2020-12-31T04:42:38.383Z
80,11,10,2020-12-31T04:42:38.383Z,2020-12-31T04:42:38.383Z
90,1,1,2020-12-31T04:42:38.383Z,2020-12-31T04:42:38.383Z
