date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,lastUpdate
2020-03-02T00:00:00.000Z,1,11,11,0,0,11,0,0,1842,0.005971769815418024,5632,-187,0,2020-09-21T10:35:51.180Z
2020-03-03T00:00:00.000Z,0,10,10,0,0,10,0,0,1842,0.005428881650380022,7857,-184,0,2020-09-21T10:35:51.180Z
2020-03-04T00:00:00.000Z,0,12,11,0,0,12,0,0,1842,0.006514657980456026,7012,-186,0,2020-09-21T10:35:51.180Z
2020-03-05T00:00:00.000Z,1,13,13,1,0,12,0,0,1842,0.007057546145494028,7012,-186,0,2020-09-21T10:35:51.180Z
2020-03-06T00:00:00.000Z,1,16,16,2,0,14,1,0,1842,0.008686210640608035,5177,-185,0,2020-09-21T10:35:51.180Z
2020-03-07T00:00:00.000Z,1,20,20,3,0,17,2,0,1842,0.01085776330076004,4861,-185,0,2020-09-21T10:35:51.180Z
2020-03-08T00:00:00.000Z,2,26,26,5,0,21,4,0,1842,0.01411509229098806,7330,-183,0,2020-09-21T10:35:51.180Z
2020-03-09T00:00:00.000Z,7,39,39,6,0,33,5,0,1842,0.02117263843648208,6205,-192,0,2020-09-21T10:35:51.180Z
2020-03-10T00:00:00.000Z,2,59,59,6,0,53,5,0,1842,0.03203040173724213,6021,-179,0,2020-09-21T10:35:51.180Z
2020-03-11T00:00:00.000Z,10,81,81,7,1,73,6,0,1842,0.04397394136807818,5981,-182,0,2020-09-21T10:35:51.180Z
2020-03-12T00:00:00.000Z,6,103,101,7,1,95,6,0,1842,0.05591748099891422,5983,-180,0,2020-09-21T10:35:51.180Z
2020-03-13T00:00:00.000Z,10,123,122,7,4,112,6,0,1842,0.06677524429967427,4121,-167,0,2020-09-21T10:35:51.180Z
2020-03-14T00:00:00.000Z,20,162,161,6,4,152,4,0,1842,0.08794788273615635,3692,-177,0,2020-09-21T10:35:51.180Z
2020-03-15T00:00:00.000Z,37,202,200,9,6,187,6,0,1842,0.1096634093376764,5489,-177,0,2020-09-21T10:35:51.180Z
2020-03-16T00:00:00.000Z,27,221,215,11,5,205,7,0,1842,0.1199782844733985,4757,-119,0,2020-09-21T10:35:51.180Z
2020-03-17T00:00:00.000Z,46,256,256,12,6,238,7,0,1842,0.1389793702497286,4338,-70,0,2020-09-21T10:35:51.180Z
2020-03-18T00:00:00.000Z,54,306,269,16,11,279,7,0,1842,0.1661237785016287,3920,30,0,2020-09-21T10:35:51.180Z
2020-03-19T00:00:00.000Z,31,295,264,21,11,263,12,0,1842,0.1601520086862106,4053,161,0,2020-09-21T10:35:51.180Z
2020-03-20T00:00:00.000Z,30,289,251,23,14,252,12,1,1842,0.1568946796959826,3207,336,0,2020-09-21T10:35:51.180Z
2020-03-21T00:00:00.000Z,35,277,274,27,21,229,15,0,1842,0.1503800217155266,2905,519,0,2020-09-21T10:35:51.180Z
2020-03-22T00:00:00.000Z,54,324,305,37,32,255,22,0,1842,0.1758957654723127,4523,734,0,2020-09-21T10:35:51.180Z
