section,male,female,lastUpdate,date
0,0,2,2021-02-09T16:37:31.400Z,2021-02-09T16:37:31.400Z
10,0,5,2021-02-09T16:37:31.400Z,2021-02-09T16:37:31.400Z
20,11,6,2021-02-09T16:37:31.400Z,2021-02-09T16:37:31.400Z
30,27,28,2021-02-09T16:37:31.400Z,2021-02-09T16:37:31.400Z
40,69,31,2021-02-09T16:37:31.400Z,2021-02-09T16:37:31.400Z
50,125,59,2021-02-09T16:37:31.400Z,2021-02-09T16:37:31.400Z
60,136,97,2021-02-09T16:37:31.400Z,2021-02-09T16:37:31.400Z
70,137,103,2021-02-09T16:37:31.400Z,2021-02-09T16:37:31.400Z
80,70,86,2021-02-09T16:37:31.400Z,2021-02-09T16:37:31.400Z
90,25,27,2021-02-09T16:37:31.400Z,2021-02-09T16:37:31.400Z
