amount,lastUpdate
0,2021-03-29T18:08:49.533Z
0,2021-03-29T18:08:49.533Z
0,2021-03-29T18:08:49.533Z
1,2021-03-29T18:08:49.533Z
2,2021-03-29T18:08:49.533Z
3,2021-03-29T18:08:49.533Z
5,2021-03-29T18:08:49.533Z
5,2021-03-29T18:08:49.533Z
6,2021-03-29T18:08:49.533Z
7,2021-03-29T18:08:49.533Z
7,2021-03-29T18:08:49.533Z
7,2021-03-29T18:08:49.533Z
6,2021-03-29T18:08:49.533Z
9,2021-03-29T18:08:49.533Z
11,2021-03-29T18:08:49.533Z
12,2021-03-29T18:08:49.533Z
16,2021-03-29T18:08:49.533Z
21,2021-03-29T18:08:49.533Z
23,2021-03-29T18:08:49.533Z
27,2021-03-29T18:08:49.533Z
38,2021-03-29T18:08:49.533Z
44,2021-03-29T18:08:49.533Z
48,2021-03-29T18:08:49.533Z
52,2021-03-29T18:08:49.533Z
56,2021-03-29T18:08:49.533Z
66,2021-03-29T18:08:49.533Z
70,2021-03-29T18:08:49.533Z
80,2021-03-29T18:08:49.533Z
89,2021-03-29T18:08:49.533Z
98,2021-03-29T18:08:49.533Z
111,2021-03-29T18:08:49.533Z
113,2021-03-29T18:08:49.533Z
131,2021-03-29T18:08:49.533Z
140,2021-03-29T18:08:49.533Z
135,2021-03-29T18:08:49.533Z
147,2021-03-29T18:08:49.533Z
160,2021-03-29T18:08:49.533Z
166,2021-03-29T18:08:49.533Z
166,2021-03-29T18:08:49.533Z
170,2021-03-29T18:08:49.533Z
182,2021-03-29T18:08:49.533Z
177,2021-03-29T18:08:49.533Z
192,2021-03-29T18:08:49.533Z
178,2021-03-29T18:08:49.533Z
186,2021-03-29T18:08:49.533Z
182,2021-03-29T18:08:49.533Z
165,2021-03-29T18:08:49.533Z
175,2021-03-29T18:08:49.533Z
157,2021-03-29T18:08:49.533Z
155,2021-03-29T18:08:49.533Z
145,2021-03-29T18:08:49.533Z
149,2021-03-29T18:08:49.533Z
146,2021-03-29T18:08:49.533Z
144,2021-03-29T18:08:49.533Z
136,2021-03-29T18:08:49.533Z
142,2021-03-29T18:08:49.533Z
132,2021-03-29T18:08:49.533Z
127,2021-03-29T18:08:49.533Z
122,2021-03-29T18:08:49.533Z
112,2021-03-29T18:08:49.533Z
109,2021-03-29T18:08:49.533Z
111,2021-03-29T18:08:49.533Z
101,2021-03-29T18:08:49.533Z
97,2021-03-29T18:08:49.533Z
91,2021-03-29T18:08:49.533Z
88,2021-03-29T18:08:49.533Z
84,2021-03-29T18:08:49.533Z
78,2021-03-29T18:08:49.533Z
78,2021-03-29T18:08:49.533Z
74,2021-03-29T18:08:49.533Z
69,2021-03-29T18:08:49.533Z
66,2021-03-29T18:08:49.533Z
61,2021-03-29T18:08:49.533Z
61,2021-03-29T18:08:49.533Z
61,2021-03-29T18:08:49.533Z
60,2021-03-29T18:08:49.533Z
55,2021-03-29T18:08:49.533Z
52,2021-03-29T18:08:49.533Z
51,2021-03-29T18:08:49.533Z
46,2021-03-29T18:08:49.533Z
47,2021-03-29T18:08:49.533Z
46,2021-03-29T18:08:49.533Z
46,2021-03-29T18:08:49.533Z
43,2021-03-29T18:08:49.533Z
41,2021-03-29T18:08:49.533Z
36,2021-03-29T18:08:49.533Z
40,2021-03-29T18:08:49.533Z
36,2021-03-29T18:08:49.533Z
39,2021-03-29T18:08:49.533Z
35,2021-03-29T18:08:49.533Z
35,2021-03-29T18:08:49.533Z
32,2021-03-29T18:08:49.533Z
29,2021-03-29T18:08:49.533Z
28,2021-03-29T18:08:49.533Z
30,2021-03-29T18:08:49.533Z
29,2021-03-29T18:08:49.533Z
29,2021-03-29T18:08:49.533Z
29,2021-03-29T18:08:49.533Z
30,2021-03-29T18:08:49.533Z
31,2021-03-29T18:08:49.533Z
32,2021-03-29T18:08:49.533Z
35,2021-03-29T18:08:49.533Z
35,2021-03-29T18:08:49.533Z
35,2021-03-29T18:08:49.533Z
31,2021-03-29T18:08:49.533Z
36,2021-03-29T18:08:49.533Z
38,2021-03-29T18:08:49.533Z
36,2021-03-29T18:08:49.533Z
40,2021-03-29T18:08:49.533Z
39,2021-03-29T18:08:49.533Z
41,2021-03-29T18:08:49.533Z
45,2021-03-29T18:08:49.533Z
44,2021-03-29T18:08:49.533Z
40,2021-03-29T18:08:49.533Z
45,2021-03-29T18:08:49.533Z
44,2021-03-29T18:08:49.533Z
45,2021-03-29T18:08:49.533Z
40,2021-03-29T18:08:49.533Z
39,2021-03-29T18:08:49.533Z
44,2021-03-29T18:08:49.533Z
56,2021-03-29T18:08:49.533Z
59,2021-03-29T18:08:49.533Z
72,2021-03-29T18:08:49.533Z
83,2021-03-29T18:08:49.533Z
85,2021-03-29T18:08:49.533Z
94,2021-03-29T18:08:49.533Z
90,2021-03-29T18:08:49.533Z
93,2021-03-29T18:08:49.533Z
113,2021-03-29T18:08:49.533Z
126,2021-03-29T18:08:49.533Z
131,2021-03-29T18:08:49.533Z
136,2021-03-29T18:08:49.533Z
152,2021-03-29T18:08:49.533Z
184,2021-03-29T18:08:49.533Z
190,2021-03-29T18:08:49.533Z
209,2021-03-29T18:08:49.533Z
209,2021-03-29T18:08:49.533Z
220,2021-03-29T18:08:49.533Z
236,2021-03-29T18:08:49.533Z
270,2021-03-29T18:08:49.533Z
264,2021-03-29T18:08:49.533Z
256,2021-03-29T18:08:49.533Z
285,2021-03-29T18:08:49.533Z
312,2021-03-29T18:08:49.533Z
328,2021-03-29T18:08:49.533Z
320,2021-03-29T18:08:49.533Z
310,2021-03-29T18:08:49.533Z
315,2021-03-29T18:08:49.533Z
321,2021-03-29T18:08:49.533Z
334,2021-03-29T18:08:49.533Z
317,2021-03-29T18:08:49.533Z
316,2021-03-29T18:08:49.533Z
336,2021-03-29T18:08:49.533Z
348,2021-03-29T18:08:49.533Z
327,2021-03-29T18:08:49.533Z
340,2021-03-29T18:08:49.533Z
353,2021-03-29T18:08:49.533Z
355,2021-03-29T18:08:49.533Z
367,2021-03-29T18:08:49.533Z
385,2021-03-29T18:08:49.533Z
385,2021-03-29T18:08:49.533Z
391,2021-03-29T18:08:49.533Z
372,2021-03-29T18:08:49.533Z
371,2021-03-29T18:08:49.533Z
370,2021-03-29T18:08:49.533Z
368,2021-03-29T18:08:49.533Z
382,2021-03-29T18:08:49.533Z
374,2021-03-29T18:08:49.533Z
393,2021-03-29T18:08:49.533Z
399,2021-03-29T18:08:49.533Z
