section,male,female,lastUpdate,date
0,0,0,2020-12-23T16:13:22.737Z,2020-12-23T16:13:22.737Z
10,2,0,2020-12-23T16:13:22.737Z,2020-12-23T16:13:22.737Z
20,0,0,2020-12-23T16:13:22.737Z,2020-12-23T16:13:22.737Z
30,0,0,2020-12-23T16:13:22.737Z,2020-12-23T16:13:22.737Z
40,7,1,2020-12-23T16:13:22.737Z,2020-12-23T16:13:22.737Z
50,13,1,2020-12-23T16:13:22.737Z,2020-12-23T16:13:22.737Z
60,25,12,2020-12-23T16:13:22.737Z,2020-12-23T16:13:22.737Z
70,24,13,2020-12-23T16:13:22.737Z,2020-12-23T16:13:22.737Z
80,8,5,2020-12-23T16:13:22.737Z,2020-12-23T16:13:22.737Z
90,1,1,2020-12-23T16:13:22.737Z,2020-12-23T16:13:22.737Z
