section,male,female,lastUpdate,date
0,0,2,2021-01-10T19:59:05.227Z,2021-01-10T19:59:05.227Z
10,0,3,2021-01-10T19:59:05.227Z,2021-01-10T19:59:05.227Z
20,2,1,2021-01-10T19:59:05.227Z,2021-01-10T19:59:05.227Z
30,9,10,2021-01-10T19:59:05.227Z,2021-01-10T19:59:05.227Z
40,34,18,2021-01-10T19:59:05.227Z,2021-01-10T19:59:05.227Z
50,102,44,2021-01-10T19:59:05.227Z,2021-01-10T19:59:05.227Z
60,158,78,2021-01-10T19:59:05.227Z,2021-01-10T19:59:05.227Z
70,155,113,2021-01-10T19:59:05.227Z,2021-01-10T19:59:05.227Z
80,114,107,2021-01-10T19:59:05.227Z,2021-01-10T19:59:05.227Z
90,23,44,2021-01-10T19:59:05.227Z,2021-01-10T19:59:05.227Z
