name,amount,lastUpdate,date
hard,1098,2021-02-04T17:20:40.130Z,2021-02-04T17:20:40.130Z
moderate,259,2021-02-04T17:20:40.130Z,2021-02-04T17:20:40.130Z
critical,412,2021-02-04T17:20:40.130Z,2021-02-04T17:20:40.130Z
breath,340,2021-02-04T17:20:40.130Z,2021-02-04T17:20:40.130Z
name,amount,lastUpdate,date
hard,1098,2021-02-04T17:20:40.130Z,2021-02-04T17:20:40.130Z
moderate,259,2021-02-04T17:20:40.130Z,2021-02-04T17:20:40.130Z
critical,412,2021-02-04T17:20:40.130Z,2021-02-04T17:20:40.130Z
breath,340,2021-02-04T17:20:40.130Z,2021-02-04T17:20:40.130Z
