section,male,female,lastUpdate,date
0,1,1,2020-12-03T08:49:07.417Z,2020-12-03T08:49:07.417Z
10,1,2,2020-12-03T08:49:07.417Z,2020-12-03T08:49:07.417Z
20,1,5,2020-12-03T08:49:07.417Z,2020-12-03T08:49:07.417Z
30,11,7,2020-12-03T08:49:07.417Z,2020-12-03T08:49:07.417Z
40,21,11,2020-12-03T08:49:07.417Z,2020-12-03T08:49:07.417Z
50,99,55,2020-12-03T08:49:07.417Z,2020-12-03T08:49:07.417Z
60,264,108,2020-12-03T08:49:07.417Z,2020-12-03T08:49:07.417Z
70,480,240,2020-12-03T08:49:07.417Z,2020-12-03T08:49:07.417Z
80,538,446,2020-12-03T08:49:07.417Z,2020-12-03T08:49:07.417Z
90,238,361,2020-12-03T08:49:07.417Z,2020-12-03T08:49:07.417Z
