section,male,female,lastUpdate,date
0,1,0,2020-12-18T10:20:49.337Z,2020-12-18T10:20:49.337Z
10,2,0,2020-12-18T10:20:49.337Z,2020-12-18T10:20:49.337Z
20,2,3,2020-12-18T10:20:49.337Z,2020-12-18T10:20:49.337Z
30,1,2,2020-12-18T10:20:49.337Z,2020-12-18T10:20:49.337Z
40,16,8,2020-12-18T10:20:49.337Z,2020-12-18T10:20:49.337Z
50,41,22,2020-12-18T10:20:49.337Z,2020-12-18T10:20:49.337Z
60,88,34,2020-12-18T10:20:49.337Z,2020-12-18T10:20:49.337Z
70,71,39,2020-12-18T10:20:49.337Z,2020-12-18T10:20:49.337Z
80,43,30,2020-12-18T10:20:49.337Z,2020-12-18T10:20:49.337Z
90,5,12,2020-12-18T10:20:49.337Z,2020-12-18T10:20:49.337Z
