section,male,female,lastUpdate,date
0,16522,15845,2020-10-20T18:57:53.083Z,2020-10-20T18:57:53.083Z
10,37920,26869,2020-10-20T18:57:53.083Z,2020-10-20T18:57:53.083Z
20,31828,28705,2020-10-20T18:57:53.083Z,2020-10-20T18:57:53.083Z
30,21245,20801,2020-10-20T18:57:53.083Z,2020-10-20T18:57:53.083Z
40,18494,19425,2020-10-20T18:57:53.083Z,2020-10-20T18:57:53.083Z
50,14322,14720,2020-10-20T18:57:53.083Z,2020-10-20T18:57:53.083Z
60,10393,9157,2020-10-20T18:57:53.083Z,2020-10-20T18:57:53.083Z
70,5082,4612,2020-10-20T18:57:53.083Z,2020-10-20T18:57:53.083Z
80,2195,2744,2020-10-20T18:57:53.083Z,2020-10-20T18:57:53.083Z
90,519,1190,2020-10-20T18:57:53.083Z,2020-10-20T18:57:53.083Z
