section,male,female,lastUpdate,date
0,0,0,2020-12-28T08:04:22.387Z,2020-12-28T08:04:22.387Z
10,1,2,2020-12-28T08:04:22.387Z,2020-12-28T08:04:22.387Z
20,2,1,2020-12-28T08:04:22.387Z,2020-12-28T08:04:22.387Z
30,9,9,2020-12-28T08:04:22.387Z,2020-12-28T08:04:22.387Z
40,25,17,2020-12-28T08:04:22.387Z,2020-12-28T08:04:22.387Z
50,66,23,2020-12-28T08:04:22.387Z,2020-12-28T08:04:22.387Z
60,99,37,2020-12-28T08:04:22.387Z,2020-12-28T08:04:22.387Z
70,93,83,2020-12-28T08:04:22.387Z,2020-12-28T08:04:22.387Z
80,54,41,2020-12-28T08:04:22.387Z,2020-12-28T08:04:22.387Z
90,16,15,2020-12-28T08:04:22.387Z,2020-12-28T08:04:22.387Z
