total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2020,1882,380,308,764,399,2021-01-20T15:51:00.880Z
100,93,20,16,41,21,2021-01-20T15:51:00.880Z
