section,male,female,lastUpdate,date
0,16738,16045,2020-10-26T15:07:14.570Z,2020-10-26T15:07:14.570Z
10,38351,27255,2020-10-26T15:07:14.570Z,2020-10-26T15:07:14.570Z
20,32297,29140,2020-10-26T15:07:14.570Z,2020-10-26T15:07:14.570Z
30,21525,21106,2020-10-26T15:07:14.570Z,2020-10-26T15:07:14.570Z
40,18783,19712,2020-10-26T15:07:14.570Z,2020-10-26T15:07:14.570Z
50,14511,14962,2020-10-26T15:07:14.570Z,2020-10-26T15:07:14.570Z
60,10574,9312,2020-10-26T15:07:14.570Z,2020-10-26T15:07:14.570Z
70,5165,4691,2020-10-26T15:07:14.570Z,2020-10-26T15:07:14.570Z
80,2240,2794,2020-10-26T15:07:14.570Z,2020-10-26T15:07:14.570Z
90,526,1216,2020-10-26T15:07:14.570Z,2020-10-26T15:07:14.570Z
