total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3263,907,190,131,311,263,2021-03-17T19:09:09.100Z
100,28,21,14,34,29,2021-03-17T19:09:09.100Z
