total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2892,451,109,48,127,163,2021-04-08T06:05:24.997Z
100,16,24,11,28,36,2021-04-08T06:05:24.997Z
