total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2892,418,91,59,110,153,2021-04-11T05:22:09.037Z
100,14,22,14,26,37,2021-04-11T05:22:09.037Z
