amount,lastUpdate
0,2021-04-11T05:22:09.037Z
0,2021-04-11T05:22:09.037Z
0,2021-04-11T05:22:09.037Z
1,2021-04-11T05:22:09.037Z
2,2021-04-11T05:22:09.037Z
3,2021-04-11T05:22:09.037Z
5,2021-04-11T05:22:09.037Z
5,2021-04-11T05:22:09.037Z
6,2021-04-11T05:22:09.037Z
7,2021-04-11T05:22:09.037Z
7,2021-04-11T05:22:09.037Z
7,2021-04-11T05:22:09.037Z
6,2021-04-11T05:22:09.037Z
9,2021-04-11T05:22:09.037Z
11,2021-04-11T05:22:09.037Z
12,2021-04-11T05:22:09.037Z
16,2021-04-11T05:22:09.037Z
21,2021-04-11T05:22:09.037Z
23,2021-04-11T05:22:09.037Z
27,2021-04-11T05:22:09.037Z
38,2021-04-11T05:22:09.037Z
44,2021-04-11T05:22:09.037Z
48,2021-04-11T05:22:09.037Z
52,2021-04-11T05:22:09.037Z
56,2021-04-11T05:22:09.037Z
66,2021-04-11T05:22:09.037Z
70,2021-04-11T05:22:09.037Z
80,2021-04-11T05:22:09.037Z
89,2021-04-11T05:22:09.037Z
99,2021-04-11T05:22:09.037Z
111,2021-04-11T05:22:09.037Z
113,2021-04-11T05:22:09.037Z
131,2021-04-11T05:22:09.037Z
140,2021-04-11T05:22:09.037Z
135,2021-04-11T05:22:09.037Z
147,2021-04-11T05:22:09.037Z
160,2021-04-11T05:22:09.037Z
166,2021-04-11T05:22:09.037Z
166,2021-04-11T05:22:09.037Z
170,2021-04-11T05:22:09.037Z
182,2021-04-11T05:22:09.037Z
177,2021-04-11T05:22:09.037Z
192,2021-04-11T05:22:09.037Z
178,2021-04-11T05:22:09.037Z
186,2021-04-11T05:22:09.037Z
181,2021-04-11T05:22:09.037Z
165,2021-04-11T05:22:09.037Z
175,2021-04-11T05:22:09.037Z
157,2021-04-11T05:22:09.037Z
155,2021-04-11T05:22:09.037Z
145,2021-04-11T05:22:09.037Z
149,2021-04-11T05:22:09.037Z
146,2021-04-11T05:22:09.037Z
144,2021-04-11T05:22:09.037Z
136,2021-04-11T05:22:09.037Z
142,2021-04-11T05:22:09.037Z
132,2021-04-11T05:22:09.037Z
127,2021-04-11T05:22:09.037Z
122,2021-04-11T05:22:09.037Z
112,2021-04-11T05:22:09.037Z
109,2021-04-11T05:22:09.037Z
111,2021-04-11T05:22:09.037Z
101,2021-04-11T05:22:09.037Z
97,2021-04-11T05:22:09.037Z
91,2021-04-11T05:22:09.037Z
88,2021-04-11T05:22:09.037Z
84,2021-04-11T05:22:09.037Z
78,2021-04-11T05:22:09.037Z
78,2021-04-11T05:22:09.037Z
74,2021-04-11T05:22:09.037Z
69,2021-04-11T05:22:09.037Z
66,2021-04-11T05:22:09.037Z
61,2021-04-11T05:22:09.037Z
61,2021-04-11T05:22:09.037Z
61,2021-04-11T05:22:09.037Z
60,2021-04-11T05:22:09.037Z
55,2021-04-11T05:22:09.037Z
52,2021-04-11T05:22:09.037Z
51,2021-04-11T05:22:09.037Z
46,2021-04-11T05:22:09.037Z
47,2021-04-11T05:22:09.037Z
46,2021-04-11T05:22:09.037Z
46,2021-04-11T05:22:09.037Z
43,2021-04-11T05:22:09.037Z
41,2021-04-11T05:22:09.037Z
36,2021-04-11T05:22:09.037Z
40,2021-04-11T05:22:09.037Z
36,2021-04-11T05:22:09.037Z
39,2021-04-11T05:22:09.037Z
35,2021-04-11T05:22:09.037Z
35,2021-04-11T05:22:09.037Z
32,2021-04-11T05:22:09.037Z
29,2021-04-11T05:22:09.037Z
28,2021-04-11T05:22:09.037Z
30,2021-04-11T05:22:09.037Z
29,2021-04-11T05:22:09.037Z
29,2021-04-11T05:22:09.037Z
29,2021-04-11T05:22:09.037Z
30,2021-04-11T05:22:09.037Z
31,2021-04-11T05:22:09.037Z
32,2021-04-11T05:22:09.037Z
35,2021-04-11T05:22:09.037Z
35,2021-04-11T05:22:09.037Z
35,2021-04-11T05:22:09.037Z
31,2021-04-11T05:22:09.037Z
36,2021-04-11T05:22:09.037Z
38,2021-04-11T05:22:09.037Z
36,2021-04-11T05:22:09.037Z
40,2021-04-11T05:22:09.037Z
39,2021-04-11T05:22:09.037Z
41,2021-04-11T05:22:09.037Z
45,2021-04-11T05:22:09.037Z
44,2021-04-11T05:22:09.037Z
40,2021-04-11T05:22:09.037Z
45,2021-04-11T05:22:09.037Z
44,2021-04-11T05:22:09.037Z
45,2021-04-11T05:22:09.037Z
40,2021-04-11T05:22:09.037Z
39,2021-04-11T05:22:09.037Z
44,2021-04-11T05:22:09.037Z
56,2021-04-11T05:22:09.037Z
59,2021-04-11T05:22:09.037Z
72,2021-04-11T05:22:09.037Z
83,2021-04-11T05:22:09.037Z
85,2021-04-11T05:22:09.037Z
94,2021-04-11T05:22:09.037Z
90,2021-04-11T05:22:09.037Z
93,2021-04-11T05:22:09.037Z
113,2021-04-11T05:22:09.037Z
126,2021-04-11T05:22:09.037Z
131,2021-04-11T05:22:09.037Z
136,2021-04-11T05:22:09.037Z
152,2021-04-11T05:22:09.037Z
184,2021-04-11T05:22:09.037Z
190,2021-04-11T05:22:09.037Z
209,2021-04-11T05:22:09.037Z
209,2021-04-11T05:22:09.037Z
220,2021-04-11T05:22:09.037Z
236,2021-04-11T05:22:09.037Z
270,2021-04-11T05:22:09.037Z
264,2021-04-11T05:22:09.037Z
256,2021-04-11T05:22:09.037Z
285,2021-04-11T05:22:09.037Z
312,2021-04-11T05:22:09.037Z
327,2021-04-11T05:22:09.037Z
320,2021-04-11T05:22:09.037Z
310,2021-04-11T05:22:09.037Z
315,2021-04-11T05:22:09.037Z
321,2021-04-11T05:22:09.037Z
334,2021-04-11T05:22:09.037Z
317,2021-04-11T05:22:09.037Z
316,2021-04-11T05:22:09.037Z
336,2021-04-11T05:22:09.037Z
348,2021-04-11T05:22:09.037Z
327,2021-04-11T05:22:09.037Z
340,2021-04-11T05:22:09.037Z
353,2021-04-11T05:22:09.037Z
355,2021-04-11T05:22:09.037Z
367,2021-04-11T05:22:09.037Z
386,2021-04-11T05:22:09.037Z
