section,male,female,lastUpdate,date
0,0,1,2021-02-09T19:30:02.767Z,2021-02-09T19:30:02.767Z
10,0,2,2021-02-09T19:30:02.767Z,2021-02-09T19:30:02.767Z
20,5,4,2021-02-09T19:30:02.767Z,2021-02-09T19:30:02.767Z
30,9,11,2021-02-09T19:30:02.767Z,2021-02-09T19:30:02.767Z
40,17,9,2021-02-09T19:30:02.767Z,2021-02-09T19:30:02.767Z
50,39,16,2021-02-09T19:30:02.767Z,2021-02-09T19:30:02.767Z
60,45,31,2021-02-09T19:30:02.767Z,2021-02-09T19:30:02.767Z
70,44,25,2021-02-09T19:30:02.767Z,2021-02-09T19:30:02.767Z
80,15,18,2021-02-09T19:30:02.767Z,2021-02-09T19:30:02.767Z
90,4,1,2021-02-09T19:30:02.767Z,2021-02-09T19:30:02.767Z
