age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,159519,22424,1505185,10.6,1.5,2021-02-09T19:30:02.767Z
20-29,434261,151343,1277634,34.0,11.8,2021-02-09T19:30:02.767Z
30-39,501581,181452,1186386,42.3,15.3,2021-02-09T19:30:02.767Z
40-49,644284,308752,1080768,59.6,28.6,2021-02-09T19:30:02.767Z
50-59,583282,412171,832687,70.0,49.5,2021-02-09T19:30:02.767Z
60-69,574512,505796,735380,78.1,68.8,2021-02-09T19:30:02.767Z
70-79,437353,401205,462148,94.6,86.8,2021-02-09T19:30:02.767Z
80-89,195400,177260,222547,87.8,79.7,2021-02-09T19:30:02.767Z
90+,46034,40803,50589,91.0,80.7,2021-02-09T19:30:02.767Z
