section,male,female,lastUpdate,date
0,61326,57921,2021-03-20T18:12:54.523Z,2021-03-20T18:12:54.523Z
10,91357,82814,2021-03-20T18:12:54.523Z,2021-03-20T18:12:54.523Z
20,76040,79526,2021-03-20T18:12:54.523Z,2021-03-20T18:12:54.523Z
30,55269,59252,2021-03-20T18:12:54.523Z,2021-03-20T18:12:54.523Z
40,45959,50974,2021-03-20T18:12:54.523Z,2021-03-20T18:12:54.523Z
50,34264,37072,2021-03-20T18:12:54.523Z,2021-03-20T18:12:54.523Z
60,23388,22872,2021-03-20T18:12:54.523Z,2021-03-20T18:12:54.523Z
70,11624,11651,2021-03-20T18:12:54.523Z,2021-03-20T18:12:54.523Z
80,5120,7043,2021-03-20T18:12:54.523Z,2021-03-20T18:12:54.523Z
90,1377,2880,2021-03-20T18:12:54.523Z,2021-03-20T18:12:54.523Z
