total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3263,997,211,138,359,254,2021-03-12T07:38:15.447Z
100,31,21,14,36,25,2021-03-12T07:38:15.447Z
