total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2892,340,77,53,76,129,2021-04-16T05:05:25.020Z
100,12,23,16,22,38,2021-04-16T05:05:25.020Z
