section,male,female,lastUpdate,date
0,0,0,2020-10-19T15:11:03.883Z,2020-10-19T15:11:03.883Z
10,1,0,2020-10-19T15:11:03.883Z,2020-10-19T15:11:03.883Z
20,2,3,2020-10-19T15:11:03.883Z,2020-10-19T15:11:03.883Z
30,8,6,2020-10-19T15:11:03.883Z,2020-10-19T15:11:03.883Z
40,23,11,2020-10-19T15:11:03.883Z,2020-10-19T15:11:03.883Z
50,55,31,2020-10-19T15:11:03.883Z,2020-10-19T15:11:03.883Z
60,118,46,2020-10-19T15:11:03.883Z,2020-10-19T15:11:03.883Z
70,113,48,2020-10-19T15:11:03.883Z,2020-10-19T15:11:03.883Z
80,61,55,2020-10-19T15:11:03.883Z,2020-10-19T15:11:03.883Z
90,15,31,2020-10-19T15:11:03.883Z,2020-10-19T15:11:03.883Z
